,dates,actual deposits,buy order deposits,no sell value,actual value,actual return,no sell return
0,2019-01-17,60.01000000000001,60.01000000000001,60.169998168945305,60.169998168945305,0.0026661917837909055,0.0026661917837909055
1,2019-01-18,60.01000000000001,60.01000000000001,63.06999969482422,63.06999969482422,0.05099149633101496,0.05099149633101496
2,2019-01-22,60.01000000000001,60.01000000000001,62.38999938964844,62.38999938964844,0.039660046486392764,0.039660046486392764
3,2019-01-23,60.01000000000001,60.01000000000001,60.4099998474121,60.4099998474121,0.006665553198001772,0.006665553198001772
4,2019-01-24,60.01000000000001,60.01000000000001,63.01000022888183,63.01000022888183,0.049991671869385135,0.049991671869385135
5,2019-01-25,60.01000000000001,60.01000000000001,64.94000244140625,64.94000244140625,0.08215301518757245,0.08215301518757245
6,2019-01-28,60.01000000000001,60.01000000000001,70.09000015258789,70.09000015258789,0.16797200720859617,0.16797200720859617
7,2019-01-29,246.11,246.11,246.30999946594238,246.30999946594238,0.12292901479542362,0.12292901479542362
8,2019-01-30,246.11,246.11,249.26000213623047,249.26000213623047,0.136378097655937,0.136378097655937
9,2019-01-31,246.11,246.11,260.51000595092773,260.51000595092773,0.18766694393694028,0.18766694393694028
10,2019-02-01,244.35,279.48,298.529993057251,263.2499942779541,0.20832196716861096,0.20645908992878192
11,2019-02-04,309.35,344.48,386.68999576568604,350.4799966812134,0.29015289086186136,0.2833209619173369
12,2019-02-05,309.35,344.48,376.5299949645996,342.15999603271484,0.25952611332740383,0.24960262903077357
13,2019-02-06,309.35,344.48,355.9299955368042,322.5199956893921,0.18722925342269114,0.1812367251525826
14,2019-02-07,309.35,344.48,355.20000076293945,322.1800003051758,0.1859776954679433,0.17881406719491877
15,2019-02-08,309.35,344.48,338.8699941635132,306.6899938583374,0.12895738964137515,0.124619130664958
16,2019-02-11,309.35,344.48,340.7600040435791,308.7800045013428,0.13665093363401004,0.130891569372654
17,2019-02-12,309.35,344.48,346.06000232696533,310.97000217437744,0.14471254016106205,0.14848085011349021
18,2019-02-13,309.35,344.48,351.21000957489014,318.0800085067749,0.17088520425216625,0.16557235061171593
19,2019-02-14,309.35,344.48,344.9599962234497,310.65999698638916,0.14357137920108576,0.14483022323837957
20,2019-02-15,309.35,344.48,353.79000663757324,318.44000816345215,0.1722103999899245,0.17413467275214356
21,2019-02-19,309.35,344.48,360.41999912261963,323.6899995803833,0.1915361580009145,0.1961378495257422
22,2019-02-20,309.35,344.48,363.99999809265137,327.85999870300293,0.20688635337264238,0.208018911286306
23,2019-02-21,309.35,344.48,361.87999629974365,327.10999584198,0.20412551575433024,0.20098319076099558
24,2019-02-22,309.35,344.48,364.75,326.75,0.20280033405886488,0.21050796758390344
25,2019-02-25,309.35,344.48,352.57000064849854,314.07999897003174,0.15616075801794072,0.17008579826201364
26,2019-02-26,309.35,344.48,360.60999870300293,320.10999870300293,0.17835780681118507,0.19676840745827606
27,2019-02-27,309.35,344.48,362.5199956893921,320.69999599456787,0.18052964748261013,0.2031071780411009
28,2019-02-28,309.35,344.48,370.2299976348877,325.36999702453613,0.1977204012665459,0.228694618164774
29,2019-03-01,309.35,344.48,369.5299940109253,325.9099950790405,0.1997081896073234,0.22637149283470115
30,2019-03-04,159.58010000000004,344.48,364.8999900817871,172.6099967956543,0.17566432941298893,0.21100574466152344
31,2019-03-05,159.58010000000004,344.48,387.1300077438354,173.25000286102295,0.18002347613467418,0.2847812443172888
32,2019-03-06,159.58010000000004,344.48,382.75000286102295,172.61999797821045,0.1757324484895284,0.27024517630165934
33,2019-03-07,159.58010000000004,344.48,376.7799987792969,171.13000297546387,0.16558394024404954,0.25043232501327606
34,2019-03-08,159.58010000000004,344.48,372.5599956512451,170.77999877929688,0.16320002589252125,0.23642726014765403
35,2019-03-11,159.58010000000004,344.48,372.62000274658203,174.04000282287598,0.18540424661512178,0.23662640769259413
36,2019-03-12,159.58010000000004,344.48,378.9200019836426,176.2299976348877,0.20032052510349785,0.2575344248885756
37,2019-03-13,159.58010000000004,344.48,379.299994468689,175.34999752044678,0.19432675438549984,0.25879551859870764
38,2019-03-14,159.58010000000004,344.48,373.7199993133545,172.1800022125244,0.1727355923606091,0.2402770029177974
39,2019-03-15,159.58010000000004,344.48,377.7400016784668,174.06000137329102,0.18554045878590797,0.253618318593396
40,2019-03-18,159.58010000000004,344.48,383.6500024795532,174.95999813079834,0.19167042868354556,0.27323203499680204
41,2019-03-19,159.58010000000004,344.48,382.020001411438,173.6700029373169,0.18288413957952687,0.2678224961890605
42,2019-03-20,159.58010000000004,344.48,382.4500026702881,175.6599998474121,0.19643821191758937,0.26924955568161457
43,2019-03-21,159.58010000000004,344.48,378.19000816345215,176.42000007629395,0.2016146511507113,0.25511177009590225
44,2019-03-22,159.58010000000004,344.48,365.6000003814697,175.37000465393066,0.19446302501644497,0.21332889214653128
45,2019-03-25,159.58010000000004,344.48,375.09000301361084,175.0399980545044,0.19221531634012967,0.24482367980547326
46,2019-03-26,159.58010000000004,344.48,382.2700023651123,182.60000228881836,0.24370727783420376,0.26865218267658975
47,2019-03-27,159.58010000000004,344.48,367.7399969100952,181.90999698638916,0.23900758119883347,0.22043096986689603
48,2019-03-28,159.58010000000004,344.48,377.56999588012695,187.83999633789062,0.2793974128448875,0.2530541146909262
49,2019-03-29,159.58010000000004,344.48,377.1200017929077,190.04999828338623,0.2944499619642089,0.251560704333299
50,2019-04-01,159.58010000000004,344.48,381.9899969100952,192.7799940109253,0.3130442418778874,0.26772291925159974
